"species","chull","latrange","gcd","gcell"
"Alces_alces",670453.3471,8.91060312,4068.100941,24
"Ammospermophilus_harrisii",185988.0092,4.81670337,743.3681049,8
"Ammospermophilus_interpres",149971.0373,6.5439176,881.0772446,9
"Ammospermophilus_leucurus",875494.1124,11.55587759,1545.434898,18
"Ammospermophilus_nelsoni",8610.638429,1.9368,276.5693726,1
"Antilocapra_americana",1811286.192,19.8587352,2541.033484,45
"Antrozous_pallidus",2735625.165,23.163328,3275.02883,48
"Aplodontia_rufa",231039.9471,12.69475841,1458.424575,12
"Arborimus_albipes",77703.18846,6.0443,672.8013679,5
"Arborimus_longicaudus",54055.83387,4.29306769,513.4210194,4
"Arborimus_pomo",21990.26159,3.6446,408.6027687,3
"Baiomys_taylori",546287.0439,9.59950993,1640.870197,18
"Bassariscus_astutus",2315087.608,17.44538259,3156.190773,46
"Bison_bison",31723.97924,16.51971238,1866.504753,7
"Blarina_brevicauda",2791469.55,16.50802241,3082.74591,55
"Blarina_carolinensis",864780.5587,11.3356328,2126.439914,20
"Blarina_hylophaga",728070.3712,8.6914,1177.392847,16
"Brachylagus_idahoensis",480338.8317,10.79550735,1323.717655,14
"Callospermophilus_lateralis",1504720.367,16.36775441,2010.832344,32
"Callospermophilus_saturatus",55720.4621,3.27935841,395.9177558,2
"Canis_latrans",7764951.066,24.43698116,4654.192818,119
"Canis_lupus",765959.879,16.513431,2860.126447,24
"Canis_rufus",3097.646547,0.56228482,90.26108624,1
"Castor_canadensis",7245437.594,23.546981,4625.499719,114
"Cervus_canadensis",1586609.188,19.61912131,3341.190734,51
"Chaetodipus_baileyi",130121.8791,2.94741797,631.1108807,6
"Chaetodipus_californicus",95328.15955,6.66445331,847.2390264,6
"Chaetodipus_eremicus",152145.0711,4.47951746,793.4398976,7
"Chaetodipus_fallax",16327.29587,1.82254317,220.4325629,2
"Chaetodipus_formosus",309514.5807,8.68717255,1031.725706,9
"Chaetodipus_hispidus",1756346.481,20.92487396,2352.485865,36
"Chaetodipus_intermedius",353165.2594,7.9051185,1202.072055,14
"Chaetodipus_nelsoni",94274.28195,3.49108832,512.2119071,5
"Chaetodipus_penicillatus",228250.9918,6.12192191,1036.348548,9
"Chaetodipus_rudinoris",9756.517666,1.09204835,188.1692337,2
"Chaetodipus_spinatus",27157.42082,2.74280563,341.4492562,3
"Choeronycteris_mexicana",95688.63027,7.52165859,2109.825086,8
"Condylura_cristata",1400318.553,19.22912241,2596.279894,36
"Conepatus_leuconotus",799628.0369,13.64457616,2027.54535,24
"Corynorhinus_rafinesquii",1332587.594,16.11139933,1925.622143,27
"Corynorhinus_townsendii",3478981.478,20.030395,3857.074604,62
"Cratogeomys_castanops",337212.906,12.35887181,1458.372992,11
"Cryptotis_parva",3458520.623,19.55973552,2948.652078,61
"Cynomys_gunnisoni",309494.8668,6.7795,892.0909295,10
"Cynomys_leucurus",269518.7213,7.4536,853.168614,11
