"stage","sites","range","n_sampled","n_false_e","intercept","beta","mu_obs","beta_sd","dispersion","mst_delta","area_delta","mu","sp_loss"
"Atokan",7,9.61167505671017,69,NA,1.03178091396323,-0.00120276882906254,0.25,0.0942904858331141,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",20,10.0064249010822,119,NA,1.15957296271474,-0.0038492775025559,0.248893805309735,0.0563140132220051,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",55,10.9468419597705,154,NA,1.12891775873311,-0.00203356676035125,0.25153744576495,0.0596712535071423,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",148,11.4126819624923,177.5,NA,1.06490202979387,-0.000939135094905211,0.247124917382683,0.0545471287059867,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",403,11.8003815984632,187,NA,1.03089703306816,0.00696271538715093,0.245989304812834,0.0714815754315763,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",1097,12.0381053113655,187,NA,1.03018670046299,0.00790116407139289,0.251336898395722,0.073726770914162,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Chesterian",7,10.0435695352258,66,NA,1.08798015445157,0.00079966334699716,0.246575342465753,0.134818585444151,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",20,11.2432548763417,86,NA,1.2653585385777,-0.00460221367242125,0.247058823529412,0.0772138780805481,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",55,11.7768164761612,96.5,NA,1.09080620143734,0.000624910423668609,0.25,0.0807771929565098,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",148,10.647733452764,142,NA,1.07307697218342,-0.00100569833072568,0.246950776825904,0.0680643345186563,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",403,11.197274335883,143,NA,1.07694370136974,0.0028107063755454,0.251748251748252,0.0740206512523881,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
