"stage","sites","range","n_sampled","n_false_e","intercept","beta","mu_obs","beta_sd","dispersion","mst_delta","area_delta","mu","sp_loss"
"Atokan",10,10.3318473741084,194,NA,1.11627137041697,-0.00725900309012997,0.25,0.0674293961865137,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",15,10.635309068044,194,NA,1.23860272385055,-0.0111867579976155,0.247422680412371,0.0598358606261796,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",20,10.7865547206081,194,NA,1.21266122618041,-0.00511181723472841,0.247422680412371,0.0670948150755461,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",3,7.68622390543522,194,NA,1.20825780981624,-0.014709746312075,0.25,0.051587398828556,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",5,9.42291749216992,194,NA,1.07546914741758,-0.00738031484970765,0.257731958762887,0.0562553433015246,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",7,9.95128833511898,194,NA,1.12575301217399,0.00194654046976247,0.247422680412371,0.0652841456726729,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Chesterian",10,9.50973816368738,151,NA,1.25190331885979,-0.0133703209672846,0.23841059602649,0.0659869328397942,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",15,9.85028094318555,151,NA,0.980412182158425,0.00484092184081655,0.251655629139073,0.0687314538722433,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",20,10.0276888960733,151,NA,1.04522860670198,0.00329597176697152,0.248344370860927,0.0610527016680279,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",3,6.8896727943877,151,NA,1.05554618333566,-0.00193135443942577,0.251655629139073,0.0611126822273811,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",5,8.55371773570972,151,NA,1.08912971010393,0.00267856711321033,0.245033112582781,0.0666238035888297,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",7,9.09650070561792,151,NA,0.982970840818164,0.0107268674033502,0.258278145695364,0.0657926951027088,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Desmoinesian",10,10.3004235408551,204,NA,1.24662934745065,-0.01146439791789,0.252450980392157,0.0617458222290496,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",15,10.6422887424176,204,NA,1.19056047725072,-0.00760012055630707,0.25,0.066044816420197,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",20,10.8265399244706,204,NA,1.19031351263994,-0.00637934154656635,0.245098039215686,0.0622906242149062,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",3,7.63262211619493,204,NA,1.09309914403538,-0.00472550179770015,0.259803921568627,0.052735188250274,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",5,9.3185358551713,204,NA,1.11576325437203,-0.000671671970635243,0.25,0.0657579975469834,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",7,9.87041894382374,204,NA,1.07685136017301,0.00252708422999471,0.25,0.0589598712580063,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Guadalupian",10,9.90443450119028,170,NA,1.12462891040501,-0.000191608994831577,0.25,0.0691349893673127,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",15,10.255274311899,170,NA,1.23000302290977,-0.00558029347222305,0.247058823529412,0.0693452306411353,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",20,10.4469284826578,170,NA,1.18664295065983,0.0012654128181077,0.247058823529412,0.0716635273992269,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",3,7.20232232796327,170,NA,1.11731356037631,-0.00214572680438445,0.252941176470588,0.0617240285934308,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",5,8.89307087366322,170,NA,1.31940914318859,-0.0239784432128872,0.247058823529412,0.0801801180399889,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",7,9.46066180532295,170,NA,1.27941981146037,-0.0183996002317059,0.247058823529412,0.077454350233243,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Kinderhookian",10,9.56949106348247,144,NA,1.15892918920522,-0.00745968946800188,0.253472222222222,0.0757810806012395,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",15,9.92305205874992,144,NA,1.07383989768767,-0.0043370215539007,0.256944444444444,0.0723720432175153,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
