"stage","sites","range","n_sampled","n_false_e","intercept","beta","mu_obs","beta_sd","dispersion","mst_delta","area_delta","mu","sp_loss"
"Atokan",7,9.61167505671017,69,1,0.810815698570164,0.0178469937027559,0.25,0.0630319817427158,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",20,10.0064249010822,119,2,0.90419295877635,0.0140280909961269,0.246862745098039,0.0420109493176047,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",55,10.9468419597705,154,2,0.861776999171622,0.0133091673042233,0.247607451080919,0.0438745172205078,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",148,11.4126819624923,177.5,5,0.158683009912654,0.0715030994049149,0.25068306010929,0.0536576044456174,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",403,11.8003815984632,187,8,-0.575277490581922,0.125831310991845,0.245989304812834,0.0629503618092643,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",1097,12.0381053113655,187,8,-0.96075823725397,0.154709700477544,0.25668449197861,0.0658300766789925,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Chesterian",7,10.0435695352258,66,0,1.06239680385554,-0.000211117431916863,0.25,0.153802756618087,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",20,11.2432548763417,86,0,0.54059385458145,0.0369294593570498,0.245751633986928,0.0972345617049617,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",55,11.7768164761612,96.5,5,-0.261954295867969,0.103079869173019,0.247275997037977,0.0740177862614359,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",148,10.647733452764,142,14,-0.558819609717688,0.11808353590427,0.245688416211555,0.0580476797352062,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",403,11.197274335883,143,15,-1.31927353652881,0.17600956160426,0.251748251748252,0.0582417427572583,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",1097,11.2039750241596,143,15,-1.52345851199327,0.194146855775542,0.244755244755245,0.0624778593705143,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Desmoinesian",7,9.58504432967012,69,0,1.12403387157212,0.000815354487483774,0.247087963582809,0.23847537097041,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",20,9.88015071373509,132,0,1.157937267013,-0.000603529187415084,0.242647058823529,0.0606870044910249,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",55,10.9928395976811,166,0,1.0500482385859,0.00527417446895397,0.251612903225806,0.0506840737227655,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",148,11.7617721390688,181,1,0.789304297059197,0.0237289460863544,0.252747252747253,0.063539676905316,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",403,12.1278522946122,187,2,0.762164420572283,0.0280171131461084,0.247311827956989,0.0701287025291095,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",1097,12.3668492954033,187,2,0.396004779191807,0.0535827633202788,0.251336898395722,0.0917207863504695,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Guadalupian",7,8.68644992460829,96,8,0.192937980069283,0.0604930087477242,0.25,0.058295198076256,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",20,10.343364427698,132,19,-0.937045652109651,0.132957158697274,0.251825206501466,0.0620054799173769,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",55,11.1117631860975,150,27,-2.62319798152975,0.25280646220375,0.25172446601018,0.108851709455185,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",148,11.5793576334418,159,33,-5.39655738366917,0.473252686640349,0.25,0.0991088594090705,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",403,11.9156907735792,160,34,-6.71474948111191,0.580174073256194,0.25,0.0792929939336447,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",1097,11.9338940873528,160,34,-6.94937979568196,0.593254874870383,0.25,0.0906777704059992,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Kinderhookian",7,10.6518511928784,57,0,0.773452185138504,0.0296153593523638,0.25,17.3971694736853,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",20,11.4340767447422,72,0,0.840480088318498,0.0170301834365545,0.246883176850854,0.110996866068705,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",55,10.6020582236679,102,0,1.10155635110658,-0.000525817710029751,0.24499799919968,0.0851901497125022,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",148,10.8178508207996,130,1,1.00249958768603,0.0041889398817645,0.25,0.0631699938574159,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",403,11.5768436124807,132,1,0.942874104466857,0.0105368227772724,0.242424242424242,0.0729077736096396,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",1097,11.6121718403433,132,1,0.859772882042371,0.01599643563533,0.25,0.0765545154452362,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
