"stage","sites","range","n_sampled","n_false_e","intercept","beta","mu_obs","beta_sd","dispersion","mst_delta","area_delta","mu","sp_loss"
"Atokan",10,10.3318473741084,194,4,0.274881771772545,0.0766522371706978,0.252577319587629,0.0492402022323999,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",15,10.635309068044,194,4,0.317831525565417,0.0590075237043944,0.252577319587629,0.0482628569981608,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",20,10.7865547206081,194,4,0.161184627544197,0.0795201525765117,0.252577319587629,0.0437337679802551,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",3,7.68622390543522,194,4,0.636853977363638,0.040014621482133,0.247422680412371,0.0448446655070343,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",5,9.42291749216992,194,4,0.436436646435368,0.0588913454870032,0.257731958762887,0.0515961516940532,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",7,9.95128833511898,194,4,0.407627746089028,0.0521776759673428,0.257731958762887,0.0518784786555196,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Chesterian",10,9.50973816368738,151,17,-1.12740572877723,0.180999129238831,0.245033112582781,0.0464613988637611,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",15,9.85028094318555,151,17,-1.19109672892765,0.176263629891433,0.251655629139073,0.0464430587465186,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",20,10.0276888960733,151,17,-1.11968615539569,0.169957165596584,0.245033112582781,0.0510703726321918,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",3,6.8896727943877,151,17,-0.409840909783767,0.13968213170981,0.251655629139073,0.0473897427895582,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",5,8.55371773570972,151,16.5,-0.883500343480093,0.183363721830571,0.248344370860927,0.054299189756786,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",7,9.09650070561792,151,17,-0.98092746871707,0.171763071768974,0.251655629139073,0.0513631979162388,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Desmoinesian",10,10.3004235408551,204,2,0.580020418386347,0.0479566195960496,0.25,0.0523220681784686,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",15,10.6422887424176,204,2,0.663975860858298,0.0383250175934634,0.247549019607843,0.0570301649236514,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",20,10.8265399244706,204,2,0.788716868515281,0.0235164787556837,0.252450980392157,0.0520171827859949,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",3,7.63262211619493,204,2,0.819505097711616,0.0257159063476271,0.259803921568627,0.0474672114999852,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",5,9.3185358551713,204,2,0.624901621829969,0.0443701046321087,0.254901960784314,0.0509490938512858,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",7,9.87041894382374,204,2,0.614506587253411,0.0414745645622304,0.247549019607843,0.0562201260180244,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Guadalupian",10,9.90443450119028,170,36,-3.64873707675317,0.381290902689121,0.252941176470588,0.0756120858351823,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",15,10.255274311899,170,36,-4.16959803396243,0.419510881625328,0.247058823529412,0.0673531549575158,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",20,10.4469284826578,170,36,-4.34267091139539,0.422775816736581,0.252941176470588,0.0784531331200484,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",3,7.20232232796327,170,36,-1.72549447559808,0.257504470474471,0.241176470588235,0.0588193392538821,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",5,8.89307087366322,170,36,-2.89476269160949,0.335797678036242,0.252941176470588,0.0551468158648698,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
