"stage","sites","range","n_sampled","n_false_e","intercept","beta","mu_obs","beta_sd","dispersion","mst_delta","area_delta","mu","sp_loss"
"Atokan",7,9.61167505671017,69,NA,2.02457891663988,0.0705480382404918,0.0666666666666667,95.3450765014203,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",20,10.0064249010822,119,NA,1.62070621846289,0.0677127896868284,0.0974530541765595,0.058809779519693,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",55,10.9468419597705,154,NA,1.06121364069636,0.0965927248947435,0.11806132929036,0.0574569491647354,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",148,11.4126819624923,177.5,NA,0.566521057346492,0.120102563919405,0.131428571428571,0.0565097151551211,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",403,11.8003815984632,187,NA,-0.304760488063599,0.179763610901266,0.139784946236559,0.0921951637872331,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",1097,12.0381053113655,187,NA,-1.53246844804575,0.289284178473894,0.144385026737968,0.0807502240605626,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Chesterian",7,10.0435695352258,66,NA,1.75066345693625,0.0743318223231327,0.08,5.97820308566429,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",20,11.2432548763417,86,NA,1.59179295926066,0.0710185337409757,0.0833333333333334,0.207122703173401,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",55,11.7768164761612,96.5,NA,1.19161199377247,0.100260747445084,0.111111111111111,0.0924917828377818,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",148,10.647733452764,142,NA,0.961580945373369,0.104071616585381,0.125874125874126,0.0826101382890071,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",403,11.197274335883,143,NA,0.341552572841567,0.153481495624508,0.125874125874126,0.0960571118088164,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",1097,11.2039750241596,143,NA,0.144248786831314,0.173816164876674,0.118881118881119,0.0925074241105291,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Desmoinesian",7,9.58504432967012,69,NA,2.1182709115789,0.0597101813419544,0.0727272727272728,28.1222633411688,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",20,9.88015071373509,132,NA,1.50346250066825,0.0787395784051627,0.1,0.0565377299134365,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",55,10.9928395976811,166,NA,0.762982246978989,0.116467525632706,0.124241978757029,0.0503207725531743,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",148,11.7617721390688,181,NA,-0.2036110389653,0.181527187857724,0.14005712133576,0.0699384768835857,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",403,12.1278522946122,187,NA,-1.12797579171258,0.247632106263241,0.145553618134263,0.107471969189724,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",1097,12.3668492954033,187,NA,-3.17986861745673,0.413800888609559,0.152406417112299,0.108238914272412,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Guadalupian",7,8.68644992460829,96,NA,1.7553007953105,0.0730902119796838,0.0904545454545455,0.149127398977588,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",20,10.343364427698,132,NA,1.03187571645242,0.108301092913649,0.115831842576029,0.0555088599224976,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",55,11.1117631860975,150,NA,0.264980086993845,0.153178718139357,0.135769146368225,0.058184830281953,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",148,11.5793576334418,159,NA,-0.31144578738293,0.183789965342433,0.15,0.0723532024067655,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",403,11.9156907735792,160,NA,-2.23618789962311,0.345754062275178,0.15,0.116544417511712,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",1097,11.9338940873528,160,NA,-2.75721278682779,0.386165857456913,0.15,0.102633568790519,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Kinderhookian",7,10.6518511928784,57,NA,2.0800423252349,0.0752430794951382,0.0571480406386067,38.1495404713968,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",20,11.4340767447422,72,NA,1.55191899096628,0.0873662235373148,0.0782147315855181,0.17712862332676,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",55,10.6020582236679,102,NA,1.74340714049802,0.0639643578962013,0.0921052631578947,0.09873193214093,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",148,10.8178508207996,130,NA,1.46855575144579,0.0777251320366311,0.0948275862068966,0.070637768225087,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",403,11.5768436124807,132,NA,0.570412192510523,0.145447920809534,0.0984848484848485,0.104458754292961,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Kinderhookian",1097,11.6121718403433,132,NA,0.26449969430112,0.17179129195777,0.0984848484848485,0.105698285560831,8.5871677480222,0.109966849766883,-0.341173261459618,0.25,0
"Leonardian",7,8.48230174745025,98,NA,1.72215152645732,0.0687353247330633,0.0918367346938775,0.232023296220409,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",20,10.1537552987859,130,NA,1.00465029726275,0.0970920293669377,0.124543795620438,0.0596302997419271,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",55,10.8882567281396,155,NA,0.440686989051634,0.12721667883652,0.145454545454546,0.0485180106716913,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",148,11.5324023369922,167,NA,-0.14347368205578,0.16780911127047,0.154304029304029,0.0809260665795813,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",403,11.9749301517554,169,NA,-2.62691146387437,0.376763140071477,0.153846153846154,0.1301793030494,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Leonardian",1097,11.9973524770398,169,NA,-3.3008268561941,0.433864232582391,0.159763313609467,0.110605961656568,8.45883755775521,-0.324145024257989,-0.542881403183909,0.25,0
"Lopingian",7,8.39560384206872,90,NA,1.39720068476579,0.0911167524792158,0.119565217391304,0.245165237703932,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",20,9.03293769682707,117,NA,1.49184423583949,0.0563187665952027,0.11965811965812,0.10294505527897,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",55,10.3756954266029,117,NA,0.704927699463064,0.12464274679121,0.11965811965812,0.12102821740405,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",148,10.3874812336009,117,NA,0.416936498817948,0.159689341379478,0.11965811965812,0.117506015832988,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",403,10.3874812336009,117,NA,0.347128203498397,0.166293865678555,0.11965811965812,0.116148496327134,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Lopingian",1097,10.3874812336009,117,NA,0.575073971831381,0.147844668268636,0.11965811965812,0.109048984688361,6.82406466079995,1.76310308722224,2.34171576619062,0.25,0
"Meramecian",7,10.3674478979252,57,NA,2.08076362607993,0.0593472919127237,0.0576923076923077,41.9708769362988,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",20,11.037500086131,70,NA,1.83041145083794,0.0741379041198769,0.0769230769230769,0.312757515179843,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",55,11.6481491899308,78,NA,1.47660246580124,0.0881525557432688,0.0779220779220779,0.409439649449374,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",148,12.2344073989864,80,NA,0.235200779333468,0.198655941502366,0.075,0.251319663289966,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",403,12.3551798663407,80,NA,-1.03802231030894,0.284651861251401,0.0875,0.245178710427311,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Meramecian",1097,12.3558822984465,80,NA,-0.706977793845609,0.262862899952009,0.075,0.356286775471225,8.44964313587989,0.0838464553913649,0.105610614454918,0.25,0
"Missourian",7,9.19639676986468,73.5,NA,1.96596134531981,0.0632356805168984,0.0757575757575758,13.2764647307013,8.84768089046022,-0.115125583038211,-0.27648949882178,0.25,0
"Missourian",20,9.67033949530813,136.5,NA,1.49096561291433,0.073405494507454,0.104773133842901,0.0527483930764798,8.84768089046022,-0.115125583038211,-0.27648949882178,0.25,0
"Missourian",55,11.0292583941027,168,NA,0.644942533903196,0.121295141197453,0.130434782608696,0.0544138408670745,8.84768089046022,-0.115125583038211,-0.27648949882178,0.25,0
"Missourian",148,11.7386991350935,183,NA,-0.396122148384526,0.199287505779312,0.14876145953494,0.0742271857787083,8.84768089046022,-0.115125583038211,-0.27648949882178,0.25,0
"Missourian",403,12.1640935771704,188,NA,-2.2652989600915,0.349485386435501,0.154255319148936,0.129455739460528,8.84768089046022,-0.115125583038211,-0.27648949882178,0.25,0
"Missourian",1097,12.3135367330083,188,NA,-4.11840118351445,0.493083178328851,0.151595744680851,0.107179489940203,8.84768089046022,-0.115125583038211,-0.27648949882178,0.25,0
"Morrowan",7,9.80658531101306,68,NA,1.98101125181746,0.0716958456171176,0.0729965899403239,8.31733554148615,8.8325858166335,0.222425458886852,0.188802894737091,0.25,0
"Morrowan",20,10.8258084058953,96,NA,1.61079637595727,0.0770338247972398,0.09375,0.148287025668597,8.8325858166335,0.222425458886852,0.188802894737091,0.25,0
"Morrowan",55,10.7547598871216,135,NA,1.48548637537911,0.0657246448701922,0.105197853789403,0.0683896097719899,8.8325858166335,0.222425458886852,0.188802894737091,0.25,0
"Morrowan",148,11.0620597593896,162,NA,0.90124809286693,0.109431838004652,0.118886932707355,0.0762188683778166,8.8325858166335,0.222425458886852,0.188802894737091,0.25,0
"Morrowan",403,11.7761406554995,166,NA,-0.359626753430477,0.209130938178388,0.129518072289157,0.101506388835099,8.8325858166335,0.222425458886852,0.188802894737091,0.25,0
"Morrowan",1097,11.9273480227007,166,NA,-1.25438717276951,0.275592406190954,0.126506024096386,0.0975185502887942,8.8325858166335,0.222425458886852,0.188802894737091,0.25,0
"Osagean",7,9.31584229590185,89,NA,1.91723093080702,0.0883973399031002,0.0736068111455108,4.5017615608862,8.69713459778908,-0.24749146190919,-0.130504004304699,0.25,0
"Osagean",20,10.4156637852038,126,NA,1.4137773617336,0.0894337717540676,0.0979793233082707,0.0603864116911117,8.69713459778908,-0.24749146190919,-0.130504004304699,0.25,0
