"stage","sites","range","n_sampled","n_false_e","intercept","beta","mu_obs","beta_sd","dispersion","mst_delta","area_delta","mu","sp_loss"
"Atokan",7,9.61167505671017,69,1,1.59851474810311,0.098986114005448,0.0735294117647058,13.6436691377252,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",20,10.0064249010822,119,2,1.31744771050015,0.0854617122672154,0.0926654740608229,0.0574233707966679,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",55,10.9468419597705,154,2,0.769235083496409,0.112038330775635,0.119718309859155,0.0636681309206621,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",148,11.4126819624923,177.5,4,-0.127427262396511,0.172417343547367,0.131868131868132,0.0761532953465781,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",403,11.8003815984632,187,7,-2.32434451753061,0.350338361113899,0.139784946236559,0.112498698233461,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",1097,12.0381053113655,187,7,-3.53632479717818,0.443915387806582,0.144385026737968,0.0777229146714049,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Chesterian",7,10.0435695352258,66,0,1.82686604496611,0.0724920312602563,0.081081081081081,23.6840954179125,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",20,11.2432548763417,86,0,0.846082459690274,0.126498395777806,0.0930232558139535,0.100023780009571,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",55,11.7768164761612,96.5,4,-0.487529695534501,0.205753755266507,0.107142857142857,0.126802306721497,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",148,10.647733452764,142,14,-1.03090921450267,0.2296481075347,0.118881118881119,0.0980639179724329,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",403,11.197274335883,143,14,-2.42536494040072,0.350823541304033,0.125874125874126,0.0879637273014921,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",1097,11.2039750241596,143,14,-2.58563586450267,0.365406582285191,0.125874125874126,0.0722859141737113,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Desmoinesian",7,9.58504432967012,69,0,1.94080580482464,0.0715035689686398,0.0734619535887749,8.58773556909239,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",20,9.88015071373509,132,0,1.58563782526215,0.0761884471660617,0.0968945594607607,0.0795646324167738,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",55,10.9928395976811,166,0,0.634913746690471,0.120866509895978,0.126836827077095,0.047908988383115,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",148,11.7617721390688,181,1,-0.518205140000933,0.202951220081477,0.14005712133576,0.0786398448183826,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",403,12.1278522946122,187,2,-1.51671228689466,0.275080404771742,0.144385026737968,0.126606796331706,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",1097,12.3668492954033,187,2,-4.00295205271849,0.480655128141877,0.152406417112299,0.113885398867057,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Guadalupian",7,8.68644992460829,96,8,0.586089581606281,0.135635429847699,0.0961538461538461,0.0693777885779378,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",20,10.343364427698,132,20,-1.07365334746011,0.218158657579982,0.115702479338843,0.0831524335163249,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
