"stage","sites","range","n_sampled","n_false_e","intercept","beta","mu_obs","beta_sd","dispersion","mst_delta","area_delta","mu","sp_loss"
"Atokan",10,10.3318473741084,194,4,-1.91397888151718,0.401502657912121,0.110824742268041,0.0754172118948201,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",15,10.635309068044,194,5,-2.06826051069549,0.418741682262064,0.108247422680412,0.0692593033437816,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",20,10.7865547206081,194,5,-2.1486844263191,0.41255566886457,0.11340206185567,0.0825688012164083,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",3,7.68622390543522,194,5,-0.390178617508665,0.351122801898165,0.11340206185567,0.0735191942312507,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",5,9.42291749216992,194,4,-1.32026969276565,0.391192968593915,0.108247422680412,0.0639919133518736,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Atokan",7,9.95128833511898,194,5,-1.60066351338703,0.3904199938101,0.108247422680412,0.0690004763518343,9.05501127552035,-0.0402539830524606,0.579946909079565,0.25,0
"Chesterian",10,9.50973816368738,151,16,-1.87134342377206,0.387959085903535,0.0860927152317881,0.0543760082451835,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",15,9.85028094318555,151,16,-2.0642964992838,0.402318541711659,0.0827814569536424,0.0627150426633171,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",20,10.0276888960733,151,16,-2.17027889787294,0.405025950136104,0.0860927152317881,0.0613157062093198,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",3,6.8896727943877,151,16,-0.463284512992279,0.32891234167028,0.0860927152317881,0.0613722127361663,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",5,8.55371773570972,151,16,-1.46659393348863,0.390413621355895,0.0794701986754967,0.0653402756341044,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Chesterian",7,9.09650070561792,151,16,-1.72539208116267,0.381846507636638,0.0860927152317881,0.0645817792907588,8.53348959127125,0.299096225362245,0.655144878637879,0.25,0
"Desmoinesian",10,10.3004235408551,204,3,-2.03920610726144,0.39235212843267,0.137254901960784,0.0636094521023389,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",15,10.6422887424176,204,3,-2.1810573530568,0.398332291265939,0.142156862745098,0.0665189953663026,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",20,10.8265399244706,204,3,-2.3840510863045,0.40673402051509,0.137254901960784,0.0686262529205337,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",3,7.63262211619493,204,3,-0.541008973054163,0.340887622205784,0.142156862745098,0.0692041913381478,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",5,9.3185358551713,204,3,-1.40996764308599,0.37007992147533,0.137254901960784,0.0726167990144452,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Desmoinesian",7,9.87041894382374,204,3,-1.80238705213679,0.392975592842791,0.137254901960784,0.0729025776213297,9.01475729246789,-0.16707640200767,-0.319607081294244,0.25,0
"Guadalupian",10,9.90443450119028,170,38,-5.98788366319993,0.67890074880762,0.117647058823529,0.0741956483330696,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",15,10.255274311899,170,39,-6.63098401776007,0.719080088605141,0.117647058823529,0.0736100545627988,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",20,10.4469284826578,170,39,-7.05721311006566,0.746794686726102,0.111764705882353,0.0771665898147396,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
"Guadalupian",3,7.20232232796327,170,39,-2.28036788326185,0.424101121600096,0.117647058823529,0.067961949348479,8.13469253349722,-1.31062787269726,-2.0216089639488,0.25,0
