"metric","stage","sites","range","tau5","tau","tau95","p","dispersion","area","speciesN"
"chull","Lopingian",7,8.39560384206872,0.24243442895862,0.392663815348971,0.563643854281391,3.04433951824422e-07,919.715755415681,6818.48979849024,123
"chull","Lopingian",20,9.03293769682707,0.272472461040553,0.303993904897445,0.408531864741005,4.52620771789992e-06,919.715755415681,6818.48979849024,123
"chull","Lopingian",55,10.3756954266029,0.297180335214375,0.31335565264509,0.317736566449183,1.78524327863805e-06,919.715755415681,6818.48979849024,123
"chull","Lopingian",148,10.3874812336009,0.31335565264509,0.31335565264509,0.31335565264509,1.78524327863805e-06,919.715755415681,6818.48979849024,123
"chull","Lopingian",403,10.3874812336009,0.31335565264509,0.31335565264509,0.31335565264509,1.78524327863805e-06,919.715755415681,6818.48979849024,123
"chull","Lopingian",1097,10.3874812336009,0.31335565264509,0.31335565264509,0.31335565264509,1.78524327863805e-06,919.715755415681,6818.48979849024,123
"chull","Guadalupian",7,8.68644992460829,0.317860919595447,0.393890465075849,0.469035383077852,1.31992425861572e-07,3410.7672108729,51482.7589583706,170
"chull","Guadalupian",20,10.343364427698,0.362721090262296,0.424717360359402,0.478836541363089,1.39185816701829e-12,3410.7672108729,51482.7589583706,170
"chull","Guadalupian",55,11.1117631860975,0.421453166770454,0.45599103048574,0.487040773302711,2.18078758740584e-16,3410.7672108729,51482.7589583706,170
"chull","Guadalupian",148,11.5793576334418,0.447738799501782,0.464435273030908,0.477655481376282,5.31597184510289e-18,3410.7672108729,51482.7589583706,170
"chull","Guadalupian",403,11.9156907735792,0.462876323540201,0.465531775391879,0.468185836576839,3.45886509527796e-18,3410.7672108729,51482.7589583706,170
"chull","Guadalupian",1097,11.9338940873528,0.465531775391879,0.465531775391879,0.465531775391879,3.45886509527796e-18,3410.7672108729,51482.7589583706,170
"chull","Meramecian",7,10.3674478979252,0.36762472065152,0.469593145680172,0.547872698785996,3.20555843965342e-06,4673.4046674481,44242.0861145043,85
"chull","Meramecian",20,11.037500086131,0.446067488610052,0.489449737823098,0.547641788664439,1.73917928037085e-08,4673.4046674481,44242.0861145043,85
"chull","Meramecian",55,11.6481491899308,0.450062303255206,0.475755138089668,0.500263592837138,3.98689385230642e-09,4673.4046674481,44242.0861145043,85
"chull","Meramecian",148,12.2344073989864,0.459219573814362,0.465156552635316,0.480618077711176,4.40689104010228e-09,4673.4046674481,44242.0861145043,85
"chull","Meramecian",403,12.3551798663407,0.462678000491392,0.464528330776596,0.46621704039032,4.52576158508146e-09,4673.4046674481,44242.0861145043,85
"chull","Meramecian",1097,12.3558822984465,0.464528330776596,0.464528330776596,0.464528330776596,4.52576158508146e-09,4673.4046674481,44242.0861145043,85
"chull","Leonardian",7,8.48230174745025,0.311737799554903,0.402383207650352,0.485973999039941,6.72864662865342e-08,4716.57206709196,88599.6916446008,171
"chull","Leonardian",20,10.1537552987859,0.375714314570703,0.424976276812878,0.481030776589939,1.95191736526167e-12,4716.57206709196,88599.6916446008,171
"chull","Leonardian",55,10.8882567281396,0.392395757803748,0.445692863979757,0.485772002256073,2.66720731512206e-16,4716.57206709196,88599.6916446008,171
"chull","Leonardian",148,11.5324023369922,0.435081692623575,0.470301067936445,0.484749220283761,2.78118248222049e-19,4716.57206709196,88599.6916446008,171
"chull","Leonardian",403,11.9749301517554,0.471505055675791,0.478057298370105,0.480790205853845,3.70877374490689e-20,4716.57206709196,88599.6916446008,171
"chull","Leonardian",1097,11.9973524770398,0.478388049363923,0.478388049363923,0.478388049363923,3.52517810746868e-20,4716.57206709196,88599.6916446008,171
"chull","Chesterian",7,10.0435695352258,0.36282760414904,0.465801905194787,0.567521886131952,3.01325014916418e-07,5082.14955220225,49170.1693231065,151
"chull","Chesterian",20,11.2432548763417,0.375051078882846,0.439851828024104,0.525156819051443,8.13974633917277e-09,5082.14955220225,49170.1693231065,151
"chull","Chesterian",55,11.7768164761612,0.394588809104036,0.452682520010698,0.520472842602876,6.03924562887755e-13,5082.14955220225,49170.1693231065,151
"chull","Chesterian",148,10.647733452764,0.431168443757815,0.452393131327275,0.5069871995281,1.73746271071967e-14,5082.14955220225,49170.1693231065,151
"chull","Chesterian",403,11.197274335883,0.441671923332561,0.456145352671146,0.459820131015302,6.26154365673668e-15,5082.14955220225,49170.1693231065,151
"chull","Chesterian",1097,11.2039750241596,0.456273395426684,0.456273395426684,0.456273395426684,6.17391990215059e-15,5082.14955220225,49170.1693231065,151
"chull","Kinderhookian",7,10.6518511928784,0.363589964804847,0.484099413056319,0.62172683103576,9.57058889212079e-07,5362.40446676549,70905.9092518669,144
"chull","Kinderhookian",20,11.4340767447422,0.466013768257398,0.54852505075427,0.628293545814467,5.90170130977269e-12,5362.40446676549,70905.9092518669,144
"chull","Kinderhookian",55,10.6020582236679,0.463793542829046,0.526470981173112,0.610248322036349,9.83824506032244e-14,5362.40446676549,70905.9092518669,144
"chull","Kinderhookian",148,10.8178508207996,0.461074283472141,0.485243048706199,0.550193083380843,2.60344353791163e-15,5362.40446676549,70905.9092518669,144
"chull","Kinderhookian",403,11.5768436124807,0.480051366498872,0.49259043524318,0.496699192213092,2.28040427855083e-16,5362.40446676549,70905.9092518669,144
"chull","Kinderhookian",1097,11.6121718403433,0.492678998341662,0.492678998341662,0.492678998341662,2.27979810998006e-16,5362.40446676549,70905.9092518669,144
"chull","Wolfcampian",7,8.21717136101583,0.366742894409153,0.494139695246338,0.598160454817806,1.07935636053266e-12,5640.07726505589,51463.6934721114,237
"chull","Wolfcampian",20,10.5633734347103,0.456790498351248,0.594348782211662,0.638047824729371,1.50837384596328e-27,5640.07726505589,51463.6934721114,237
"chull","Wolfcampian",55,11.3425587286181,0.59495650823719,0.62475057287986,0.646802832213857,1.20742943911819e-36,5640.07726505589,51463.6934721114,237
"chull","Wolfcampian",148,11.8611679293888,0.619538247723961,0.634922726382862,0.65111926369317,8.1148925884598e-41,5640.07726505589,51463.6934721114,237
"chull","Wolfcampian",403,12.2234548928525,0.636933955791981,0.640913939392469,0.643672134786239,3.08874473063625e-42,5640.07726505589,51463.6934721114,237
"chull","Wolfcampian",1097,12.2815863349045,0.640850618965468,0.640850618965468,0.640850618965468,3.1246515610108e-42,5640.07726505589,51463.6934721114,237
"chull","Osagean",7,9.31584229590185,0.416852758155068,0.558885173001545,0.635363166683413,1.12292108566048e-11,5985.73607934559,50409.543630228,166
"chull","Osagean",20,10.4156637852038,0.47413007139501,0.51432397354458,0.552395645493821,2.49487548120241e-16,5985.73607934559,50409.543630228,166
"chull","Osagean",55,11.2304038048851,0.504062432724038,0.528124533597955,0.555381319452951,8.86899865624752e-21,5985.73607934559,50409.543630228,166
"chull","Osagean",148,11.6994576178695,0.517534116440326,0.536388255921545,0.551169908487718,3.26292658838486e-23,5985.73607934559,50409.543630228,166
"chull","Osagean",403,12.0771309432469,0.536184418085304,0.54201515659656,0.544226981233501,4.47622287019304e-24,5985.73607934559,50409.543630228,166
"chull","Osagean",1097,12.1202190584433,0.542199919308129,0.542199919308129,0.542199919308129,4.22677474840218e-24,5985.73607934559,50409.543630228,166
"chull","Virgilian",7,8.53032324973557,0.46318390825534,0.552523587639545,0.623136250397733,2.10489298171855e-12,6201.5547605201,112514.851625785,216
"chull","Virgilian",20,10.0144754344274,0.522282439488436,0.586693652739824,0.635398765429805,9.79337367073574e-25,6201.5547605201,112514.851625785,216
"chull","Virgilian",55,11.0369899531003,0.578051908844239,0.629409823458775,0.661877417707728,3.78745872354196e-35,6201.5547605201,112514.851625785,216
"chull","Virgilian",148,11.6947877867802,0.631404257660603,0.646838421427053,0.664547527891874,1.73154905287256e-41,6201.5547605201,112514.851625785,216
