"metric","stage","sites","range","tau5","tau","tau95","p","dispersion","area","speciesN"
"chull","Lopingian",3,5.96864038949305,0.143896226262958,0.221125707113315,0.288037220932355,0.000288722086957221,919.715755415681,6818.48979849024,123
"chull","Lopingian",5,7.66027350571922,0.195401839264294,0.260029321604691,0.302172464347594,1.99893374824535e-05,919.715755415681,6818.48979849024,123
"chull","Lopingian",7,8.26772315918707,0.245715047314408,0.280021324803412,0.318939091030255,4.36995982277434e-06,919.715755415681,6818.48979849024,123
"chull","Lopingian",10,8.69114257607386,0.257323737171798,0.288817806210849,0.322177795548447,2.16643359466782e-06,919.715755415681,6818.48979849024,123
"chull","Lopingian",15,9.06875997268376,0.263148074103692,0.303345328535253,0.333813141410103,6.50740064421997e-07,919.715755415681,6818.48979849024,123
"chull","Lopingian",20,9.27232870372982,0.278395308543249,0.30854324936692,0.339837398373984,4.17533096673074e-07,919.715755415681,6818.48979849024,123
"chull","Guadalupian",3,7.20232232796327,0.280800049269468,0.328090998176577,0.383191764382695,2.20234731477792e-10,3410.7672108729,51482.7589583706,170
"chull","Guadalupian",5,8.89307087366322,0.356644341209853,0.389808378681846,0.429002053933877,4.50051020292716e-14,3410.7672108729,51482.7589583706,170
"chull","Guadalupian",7,9.46066180532295,0.385402018795684,0.41688855155054,0.451692619588869,7.07247147316455e-16,3410.7672108729,51482.7589583706,170
"chull","Guadalupian",10,9.90443450119028,0.410769230769231,0.437660981552384,0.464684998259659,2.40616718904142e-17,3410.7672108729,51482.7589583706,170
"chull","Guadalupian",15,10.255274311899,0.432544378698225,0.462025757048382,0.481942220675252,3.75408198280096e-19,3410.7672108729,51482.7589583706,170
"chull","Guadalupian",20,10.4469284826578,0.452697528715628,0.476435781413157,0.496442742777584,2.8911425391857e-20,3410.7672108729,51482.7589583706,170
"chull","Meramecian",3,8.14299683981777,0.318711484593838,0.391596638655462,0.468935574229692,1.12090449955918e-07,4673.4046674481,44242.0861145043,85
"chull","Meramecian",5,9.85274867919097,0.417899159663865,0.472829131652661,0.533137254901961,1.48614204849896e-10,4673.4046674481,44242.0861145043,85
"chull","Meramecian",7,10.4049306409264,0.442492997198879,0.492717086834734,0.550168067226891,2.45178828033979e-11,4673.4046674481,44242.0861145043,85
"chull","Meramecian",10,10.7839643378857,0.471036414565826,0.515126050420168,0.553557422969188,2.95473950944568e-12,4673.4046674481,44242.0861145043,85
"chull","Meramecian",15,11.0862571938748,0.49187675070028,0.535294117647059,0.573501400560224,4.11013725186305e-13,4673.4046674481,44242.0861145043,85
"chull","Meramecian",20,11.2428337862568,0.501932773109244,0.537254901960784,0.568879551820728,3.34428553243806e-13,4673.4046674481,44242.0861145043,85
"chull","Leonardian",3,7.55508784343819,0.295137806111721,0.342713645510335,0.38807977693455,2.85823035148798e-11,4716.57206709196,88599.6916446008,171
"chull","Leonardian",5,9.24174964500599,0.374385083987739,0.407857167670554,0.441492948056416,2.40094855681126e-15,4716.57206709196,88599.6916446008,171
"chull","Leonardian",7,9.80193684216704,0.40744021598888,0.438129966890366,0.465747015996803,1.79216141399459e-17,4716.57206709196,88599.6916446008,171
"chull","Leonardian",10,10.2121336534159,0.434028207774338,0.459485029309234,0.483639490884073,4.60922980412658e-19,4716.57206709196,88599.6916446008,171
"chull","Leonardian",15,10.5478136934691,0.452927416580667,0.475997181230802,0.496491228070175,2.42206643493025e-20,4716.57206709196,88599.6916446008,171
"chull","Leonardian",20,10.7330083528018,0.465132438940489,0.485242518059856,0.501334709322325,4.44429135977233e-21,4716.57206709196,88599.6916446008,171
"chull","Chesterian",3,6.8896727943877,0.302908320409086,0.351112044328804,0.395069699029148,1.60776503514643e-10,5082.14955220225,49170.1693231065,151
"chull","Chesterian",5,8.55371773570972,0.344415011037528,0.390163137664731,0.423382931226395,1.16894387410316e-12,5082.14955220225,49170.1693231065,151
"chull","Chesterian",7,9.09650070561792,0.380211920529801,0.407505518763797,0.433333333333333,1.12660390352062e-13,5082.14955220225,49170.1693231065,151
"chull","Chesterian",10,9.50973816368738,0.398110375275938,0.419514348785872,0.44485651214128,2.12274213678074e-14,5082.14955220225,49170.1693231065,151
"chull","Chesterian",15,9.85028094318555,0.417377483443709,0.436467991169978,0.455452538631347,1.82247938877924e-15,5082.14955220225,49170.1693231065,151
"chull","Chesterian",20,10.0276888960733,0.429209713024283,0.445827814569536,0.466551876379691,4.53424895901591e-16,5082.14955220225,49170.1693231065,151
"chull","Kinderhookian",3,6.80488073095045,0.329712888262583,0.388456027884536,0.426673842994941,5.02946157650598e-12,5362.40446676549,70905.9092518669,144
"chull","Kinderhookian",5,8.53145621387885,0.41246114996115,0.45522533022533,0.493453768453768,5.69963812711761e-16,5362.40446676549,70905.9092518669,144
"chull","Kinderhookian",7,9.12700130981462,0.447183372183372,0.472125097125097,0.503234265734266,4.62692162068291e-17,5362.40446676549,70905.9092518669,144
"chull","Kinderhookian",10,9.56949106348247,0.46010101010101,0.489219114219114,0.511761849261849,3.31881400352695e-18,5362.40446676549,70905.9092518669,144
"chull","Kinderhookian",15,9.92305205874992,0.473271173271173,0.498737373737374,0.521756021756022,7.35581111867253e-19,5362.40446676549,70905.9092518669,144
"chull","Kinderhookian",20,10.125101797557,0.478389665889666,0.505827505827506,0.530914918414918,2.3532550462591e-19,5362.40446676549,70905.9092518669,144
"chull","Wolfcampian",3,7.03221634977114,0.391240344634099,0.435836472225642,0.478564937051906,2.00249197952203e-23,5640.07726505589,51463.6934721114,237
"chull","Wolfcampian",5,8.77979125470232,0.483552425431697,0.509516377589073,0.546763829415067,1.72840334626768e-31,5640.07726505589,51463.6934721114,237
"chull","Wolfcampian",7,9.36727938764873,0.519673839716778,0.546953540075855,0.571907308596684,4.83679244993977e-36,5640.07726505589,51463.6934721114,237
"chull","Wolfcampian",10,9.79143197370551,0.555781275650467,0.577661752378113,0.597525304729747,5.20994060814497e-40,5640.07726505589,51463.6934721114,237
"chull","Wolfcampian",15,10.1376718233364,0.579145940166303,0.597003186212992,0.61357508488863,1.27254845702523e-42,5640.07726505589,51463.6934721114,237
"chull","Wolfcampian",20,10.3163041183267,0.593430761661468,0.605335625555728,0.618473293969697,9.03371432218631e-44,5640.07726505589,51463.6934721114,237
"chull","Osagean",3,7.94326747202416,0.353143483023001,0.401840155074511,0.464361605333424,1.5340084848464e-14,5985.73607934559,50409.543630228,166
"chull","Osagean",5,9.64861705944266,0.447389558232932,0.496166484118291,0.52460021905805,2.33539963291466e-21,5985.73607934559,50409.543630228,166
"chull","Osagean",7,10.2377741588394,0.506345381526104,0.533333333333333,0.560730193501278,1.99134070359609e-24,5985.73607934559,50409.543630228,166
"chull","Osagean",10,10.6220050331747,0.536013143483023,0.558013873676524,0.583110624315444,1.3826305087388e-26,5985.73607934559,50409.543630228,166
"chull","Osagean",15,10.9301117139205,0.555976633807959,0.569623950346842,0.58938298649142,1.23512675007403e-27,5985.73607934559,50409.543630228,166
"chull","Osagean",20,11.0866767406127,0.566053304125593,0.581672143117926,0.5950857977364,9.57597644682995e-29,5985.73607934559,50409.543630228,166
"chull","Virgilian",3,7.47816532858289,0.419994774785843,0.473821328877096,0.505711541136545,3.80510348077792e-25,6201.5547605201,112514.851625785,216
"chull","Virgilian",5,9.23395788648501,0.538702129214324,0.569207579672696,0.602140442440258,1.44294920662456e-35,6201.5547605201,112514.851625785,216
"chull","Virgilian",7,9.8084575701239,0.580740740740741,0.607192075796727,0.634302325581395,3.10155587460861e-40,6201.5547605201,112514.851625785,216
"chull","Virgilian",10,10.2434570154259,0.612127476313523,0.632515073212748,0.651511627906977,1.63604867388518e-43,6201.5547605201,112514.851625785,216
"chull","Virgilian",15,10.598879004987,0.642347114556417,0.659431524547804,0.679731568537337,3.84356054271358e-47,6201.5547605201,112514.851625785,216
"chull","Virgilian",20,10.7942521220822,0.655934539190353,0.672093023255814,0.690495262704565,6.69910382929468e-49,6201.5547605201,112514.851625785,216
"chull","Morrowan",3,6.97237134966907,0.379440914981438,0.415349627160113,0.457804174828065,7.32889291897977e-17,6853.98707473175,94673.2986955261,183
"chull","Morrowan",5,8.66035380347433,0.451367819542474,0.479222702155444,0.49942648012143,6.05727584723812e-22,6853.98707473175,94673.2986955261,183
"chull","Morrowan",7,9.23190345798115,0.473931338447023,0.500698204421918,0.523254927796789,8.15796913996194e-24,6853.98707473175,94673.2986955261,183
"chull","Morrowan",10,9.63889624019493,0.496024032075709,0.518055841964725,0.540282856372881,2.21834386408224e-25,6853.98707473175,94673.2986955261,183
"chull","Morrowan",15,9.98745324352944,0.512180188494119,0.537549171925509,0.555025075068211,3.31916228889345e-27,6853.98707473175,94673.2986955261,183
